display_name,source,avg_wait_mins,min_wait_mins,max_wait_mins,service_start,service_end
114B,stop_times.txt,7.5,5.0,10.0,06:30:00,22:30:00
116H,stop_times.txt,7.5,1.0,10.0,07:00:00,19:00:00
9M,frequencies.txt,7.5,5.0,10.0,06:30:00,22:33:00
7030,frequencies.txt,7.5,6.0,12.0,06:30:00,23:35:00
Lok Ma Chau - Huanggang,frequencies.txt,7.5,5.0,10.0,06:30:00,30:30:00
114B,frequencies.txt,7.5,5.0,10.0,06:30:00,22:30:00
81A,stop_times.txt,7.5,7.0,8.0,06:55:00,16:52:00
276A,stop_times.txt,7.5,1.0,56.0,05:10:00,25:05:00
94,stop_times.txt,7.5,1.0,74.0,05:15:00,23:00:00
89M,frequencies.txt,7.5,5.0,15.0,06:30:00,24:30:00
810,frequencies.txt,7.5,6.0,15.0,06:00:00,23:48:00
23K,frequencies.txt,7.6,4.0,15.0,05:30:00,23:50:00
K76,frequencies.txt,7.6,3.0,10.0,06:00:00,23:22:00
B8,stop_times.txt,7.6,1.0,60.0,06:00:00,22:53:00
114A,frequencies.txt,7.6,4.0,10.0,06:30:00,22:30:00
35,frequencies.txt,7.6,6.0,23.0,05:00:00,23:14:00
S1,frequencies.txt,7.6,5.0,10.0,05:30:00,24:00:00
44,frequencies.txt,7.6,2.0,25.0,05:00:00,25:38:00
313,frequencies.txt,7.6,6.0,20.0,05:55:00,23:54:00
273,frequencies.txt,7.7,2.0,12.0,05:30:00,24:30:00
501C,stop_times.txt,7.7,1.0,121.0,06:30:00,24:00:00
25K,frequencies.txt,7.7,5.0,12.0,04:45:00,25:19:00
102B,stop_times.txt,7.7,2.0,15.0,06:30:00,19:47:00
90P,frequencies.txt,7.7,6.0,20.0,06:00:00,23:15:00
30B,frequencies.txt,7.8,6.0,9.0,06:30:00,23:45:00
4006,frequencies.txt,7.8,5.0,10.0,07:30:00,18:55:00
45A,stop_times.txt,7.8,1.0,95.0,06:25:00,22:30:00
506,frequencies.txt,7.8,4.0,30.0,05:30:00,25:06:00
74X,frequencies.txt,7.8,4.0,20.0,05:15:00,24:53:00
